author,channel,cid,heart,photo,text,time,votes
Jorge Espinosa,UC4BWVZy7xDoQT1_ARWzDraA,Ugw6uyaWJoaAC8LNF0V4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9lbkyrI6NZ4r6fgClsSyvrT-6QQJCsZcdCgw=s176-c-k-c0x00ffffff-no-rj,"Give Michigan credit: They come out to play smash mouth football after halftime.  The Halftime adjustments are now well known, but the coaching staff is doing wonders, motivating the team to a higher level of play.",6 hours ago,1
kokoleka808,UCZ-uAwK8WogMMPanpPjpH3Q,Ugw8wmaO8GizjejWY2h4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-FBmuq2YgOsY2D02xThi3yHtIte3WCaSxMLNHuCw=s176-c-k-c0x00ffffff-no-rj,Michigan has so much talent that they convincingly beat the #2 team in the nation (Ohio State) and won the B1G Championship Game without their top running back Blake Corum.,8 hours ago,6
Regina Jackson,UC46-nWmRWPETaCW0KRxXntQ,UgxnuRfnHayGdJ1iqqp4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu-O_vNRm8rGqWJ-ML_ctCbKb-ExplspBUWHwOBLi8RUeFSOcRqN_8N2fT-XnE60=s176-c-k-c0x00ffffff-no-rj,"Congratulations to Michigan going all the way 👏, Go Blue",52 minutes ago,0
Janet Partyka,UCZDpvHa4YdxIOFNtPA3AzhA,Ugzq7o0DLHzvqvyOfct4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu9nmWHQ4W8tVBLL45uY68ApNPXtD3G3-Lb0cQ=s176-c-k-c0x00ffffff-no-rj,"On one of the plays, Donovan ran around 7 Boilermakers. Nice job Defense.",8 hours ago,1
Robert Lindsay,UCVamFF4jJaAn9dfXIE0zsew,UgwVNZKXp5oHYCQOugB4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8EbrqRGUEkIWdWqFjO-ZCK5ahhM7kwWuy2jQ4xvA=s176-c-k-c0x00ffffff-no-rj,Big Ten Championship 🏆. Go Blue 🔵,8 hours ago,6
It’s the one that says bad mother Fucker,UCP2ITqmjDYZ5Qr48ONhROew,Ugwyrrf2U8IFWH0Kb9Z4AaABAg,0.0,https://yt3.ggpht.com/LadcCTxhbLE1enRPTwjEyCgnUUlLgJ1gsziLjWw1PgYc23wEtA195qrfto-9LYgf2wcLak4N=s176-c-k-c0x00ffffff-no-rj,Congratulations to the Wolverines for not falling to the spoilermakers,1 hour ago,0
K N,UCyiDp9mVMpp8FnTy6TnVa_Q,UgzVXlqlTj6koVvus2h4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu_AI9E_xGtisCwnfPRghhpwpip6cuUH6o87kw=s176-c-k-c0x00ffffff-no-rj,"According to the US News and World Report state rankings, Ohio is ranked #36 out of 50 - Michigan is ranked #38 out of 50. Congrats on the win!",8 hours ago,0
TopShelfPicks,UCIxLuC4lECKV_9OgWqVwbnQ,UgxvMWzCQYUrQ-SEVBZ4AaABAg,0.0,https://yt3.ggpht.com/tzQdJcxfIZR7bXFLilAo7XnI9vTLOG7lp8jAz0-8ta9PFfXHRQMYhwzxHK-DH-zb89RxGKAB=s176-c-k-c0x00ffffff-no-rj,Go Blue!!! Leaders & Best!!!!,8 hours ago,7
Millionaire,UCE1Xpzg1Z8kCr_ZjJlHbbkQ,UgzS7BMmNPwGVQ2258R4AaABAg,0.0,https://yt3.ggpht.com/t2mTgvbRxnwBDlvJJ_FqsL-2Gctjn3WDGaT2Eu8tinUw1tKiw1p1y-QWErFRvnKhkqUk1GXbzw=s176-c-k-c0x00ffffff-no-rj,"I would love to see the conference champions duke it out for the National Championship. Michigan, Georgia, Utah, Kansas St. is my 4 for the playoff.",8 hours ago,3
Street Disciple Entertainment,UCMak4-evTVTlQuXj-jZrDRw,UgxxU3hVxPSLSLDYyTV4AaABAg,0.0,https://yt3.ggpht.com/ytc/AMLnZu8rXBz5HGjz2WEXybFvRFxhM9fvHqmJyoQz8hQe=s176-c-k-c0x00ffffff-no-rj,How you throw for 68% & 366 yards but 0 touchdowns that shii wild🤣,1 hour ago,0
